Membership No  Date Joined  Active  
    27683      2018-12-17   no    
    66197      2015-3-20    no    
    54847      2018-4-5     no    
    70647      2015-11-7    no    
    39934      2019-8-11    no    
    64890      2018-7-6     no    
    35910      2018-9-8     no    
    96678      2019-8-12    no    
    64363      2017-1-19    no    
    45606      2015-7-6     no    
    17043      2020-1-1     no    
    25734      2018-9-9     no    
    88848      2017-10-16   no    
    71840      2016-5-22    no    
    84487      2015-2-4     no    
    66449      2019-8-4     no    
